daily_covid_case_numbers
8.0
3.0
1.0
4.0
2.0
0.0
4.0
7.0
5.0
8.0
10.0
12.0
9.0
20.0
18.0
12.0
25.0
17.0
13.0
17.0
18.0
33.0
28.0
40.0
47.0
69.0
61.0
76.0
73.0
61.0
100.0
68.0
98.0
168.0
122.0
148.0
143.0
290.0
256.0
166.0
247.0
218.0
295.0
379.0
211.0
337.0
262.0
341.0
435.0
374.0
289.0
333.0
406.0
492.0
359.0
276.0
623.0
548.0
369.0
598.0
354.0
403.0
686.0
444.0
421.0
455.0
374.0
310.0
320.0
400.0
256.0
360.0
301.0
267.0
266.0
217.0
208.0
231.0
170.0
173.0
202.0
109.0
146.0
142.0
110.0
111.0
90.0
108.0
71.0
63.0
87.0
110.0
75.0
71.0
62.0
38.0
48.0
70.0
47.0
40.0
